full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
hneemann/Digital,5091,https://github.com/hneemann/Digital,2016-06-28T17:40:16Z,2025-09-06T21:49:30Z,39655,Java,9.19,30
zhanglei-workspace/shopping-management-system,5089,https://github.com/zhanglei-workspace/shopping-management-system,2015-11-16T12:53:21Z,2025-09-04T14:04:52Z,4353,Java,9.81,0
natario1/CameraView,5083,https://github.com/natario1/CameraView,2017-07-18T09:30:33Z,2025-09-06T20:59:55Z,30122,Java,8.14,30
deathmarine/Luyten,5083,https://github.com/deathmarine/Luyten,2013-07-11T10:57:28Z,2025-09-06T09:04:07Z,5857,Java,12.16,17
jindrapetrik/jpexs-decompiler,5077,https://github.com/jindrapetrik/jpexs-decompiler,2014-05-10T17:20:56Z,2025-09-06T21:32:09Z,298362,Java,11.33,30
fast-excel/fastexcel,5077,https://github.com/fast-excel/fastexcel,2024-10-05T11:42:50Z,2025-09-06T10:46:45Z,29756,Java,0.92,5
oshi/oshi,5069,https://github.com/oshi/oshi,2012-02-10T12:46:48Z,2025-09-05T07:26:23Z,337483,Java,13.57,30
diffplug/spotless,5064,https://github.com/diffplug/spotless,2015-04-27T19:10:58Z,2025-09-05T21:45:28Z,21183,Java,10.36,30
sofastack/sofa-boot,5062,https://github.com/sofastack/sofa-boot,2018-04-02T08:28:14Z,2025-09-04T07:10:29Z,4868,Java,7.43,30
OpenTSDB/opentsdb,5061,https://github.com/OpenTSDB/opentsdb,2010-08-27T02:05:20Z,2025-09-05T17:03:24Z,41493,Java,15.03,27
wequick/Small,5050,https://github.com/wequick/Small,2015-11-27T11:37:20Z,2025-08-27T12:08:18Z,7023,Java,9.78,25
baomidou/dynamic-datasource,5043,https://github.com/baomidou/dynamic-datasource,2018-04-28T02:32:16Z,2025-09-06T11:56:01Z,1179,Java,7.36,18
xuexiangjys/XUI,5041,https://github.com/xuexiangjys/XUI,2019-01-07T07:59:02Z,2025-09-02T13:26:24Z,279853,Java,6.66,23
