repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
lipangit_JiaoZiVideoPlayer,7.27536231884058,6.0,6.4463488479708975,2.1159420289855073,2.0,0.9782371883086127,56.63768115942029,4.0,213.1836388031864,4511
tbruyelle_RxPermissions,4.65,2.0,5.668704483946557,1.1,1.0,0.3077935056255462,10.1,0.0,33.52438232878148,876
Activiti_Activiti,5.754622835339008,4.0,8.446628139100344,1.5063105371294394,1.0,0.8365572578374723,89.4109186968007,1.0,1571.6567744425474,155578
zfile-dev_zfile,7.009661835748792,4.0,8.050079534694548,1.5048309178743962,1.0,1.1128680941921312,9.454106280193237,0.0,47.046899170895685,12385
resilience4j_resilience4j,7.01129234629862,6.0,6.173765280500304,1.472396486825596,1.0,1.0156606258269518,18.971141781681304,1.0,100.1334284748632,61840
JessYanCoding_MVPArms,6.644295302013423,5.0,5.93782404578428,1.2818791946308725,1.0,0.5704495253597208,32.100671140939596,3.0,147.0248988366423,5986
awsdocs_aws-doc-sdk-examples,7.057979677226539,5.0,6.4731399376729675,1.0400478182904962,1.0,0.3096502079775828,6.144650328750747,1.0,24.083648518635297,81757
JakeWharton_ViewPagerIndicator,5.4393939393939394,5.5,4.6875573034570435,2.242424242424242,3.0,0.8604221872582903,29.272727272727273,0.0,127.33970864817226,2947
signalapp_Signal-Server,9.131083202511775,5.0,13.24614719971185,1.4803767660910518,1.0,0.935470786514079,13.719780219780219,0.0,82.41735111943811,59928
stanfordnlp_CoreNLP,5.696631823461091,4.0,7.596678635572008,1.4610917537746806,1.0,1.4920586615252258,148.57862950058072,0.0,1831.5544661465601,557599
wasabeef_glide-transformations,5.555555555555555,5.0,3.3550574147710583,2.1481481481481484,2.0,0.769800358919501,2.7777777777777777,0.0,4.534765987799433,991
googlesamples_easypermissions,8.93939393939394,8.0,5.803767062969716,1.4848484848484849,1.0,0.618527087180309,12.212121212121213,6.0,21.774063664939728,1705
paascloud_paascloud-master,5.971698113207547,4.0,5.814775453683278,1.3342318059299192,1.0,0.6181144460864039,5.4568733153638815,0.0,25.617347149168026,16312
uknownothingsnow_JsBridge,3.5,1.5,5.003224766539689,1.15625,1.0,0.36890203262847354,17.09375,0.0,51.74026907108608,1160
SonarSource_sonarqube,7.110827434141813,5.0,8.610208845066609,1.1725658581873042,1.0,0.5044365115246695,26.59080886619473,0.0,197.66374192990102,412322
hackware1993_MagicIndicator,5.0,4.0,4.535264871094123,1.3398058252427185,1.0,0.5697160981706183,26.941747572815533,3.0,79.46164758002276,4533
HarlonWang_AVLoadingIndicatorView,3.5652173913043477,2.0,2.3641291304893404,1.7826086956521738,1.0,1.0464601445871071,6.75,0.0,42.84462729342021,2161
OpenFeign_feign,5.135525260625501,3.0,6.316561852495384,1.6824378508420208,1.0,3.2479460590772304,13.266238973536488,0.0,79.8206537468547,37446
YoKeyword_Fragmentation,5.232394366197183,3.0,5.164660416227815,1.7077464788732395,1.0,1.0972869815833148,15.116197183098592,0.0,102.26939353165251,8981
